channel_name,followers,price,telega_link,view,male_ratio,reach_ratio,tg_link,language
Barcelonais,"18,657",120.00,https://telega.io/channels/fansbarcelonais/card,842,50%,18.7%,https://t.me/fansbarcelonais,French
CHELSEA FC🔵,"111,758",54.00,https://telega.io/channels/chelsea_fc_worldwide/card,2.7K,85%,13.7%,https://telegram.me/chelsea_fc_worldwide,English
BB Sports TV 1 CH,"38,350",3.60,https://telega.io/channels/bbsportstv1ch/card,59.3K,70%,15.5%,https://t.me/bbsportstv1ch,Spanish
Espn football,"108,805",56.40,https://telega.io/channels/Espn_Football_News_uk/card,1.1K,95%,14.7%,https://t.me/Espn_Football_News_uk,English
Manchester United ⚽️💯,"139,858",72.00,https://telega.io/channels/Manchester_Utdfc/card,1.9K,80%,13.6%,https://telegram.me/Manchester_Utdfc,English
Man City Fra 🔵,"26,941",60.00,https://telega.io/channels/ManCityFRa/card,642,80%,10.1%,https://t.me/ManCityFRa,French
B/R Football,"79,605",36.00,https://telega.io/channels/br_football_news/card,3.8K,50%,13.9%,https://t.me/br_football_news,English
433 Football,"54,014",30.00,https://telega.io/channels/football433_uk/card,2.4K,50%,13.9%,https://t.me/football433_uk,English
SPORTbible,"21,996",21.60,https://telega.io/channels/+492lI_hTG0gwOWRk/card,1.0K,70%,16.7%,https://t.me/+492lI_hTG0gwOWRk,English
Real Madrid CF,"35,805",15.60,https://telega.io/channels/Madrid_RealCF/card,323,70%,--,https://t.me/Madrid_RealCF,English
BB Sports TV 2 CH,"21,648",2.40,https://telega.io/channels/bbsportstv2ch/card,20.6K,70%,17.9%,https://t.me/bbsportstv2ch,Spanish
Cricket Live News ™,"34,883",120.00,https://telega.io/channels/FinallyLive/card,2.9K,50%,8.2%,https://t.me/FinallyLive,English
LALIGA FRANCE,"23,018",180.00,https://telega.io/channels/Laligafrance/card,596,50%,12.7%,https://t.me/Laligafrance,French
LÉO MESSI FANS,"12,406",54.00,https://telega.io/channels/leo_messifans/card,405,50%,13.7%,https://t.me/leo_messifans,French
VIDÉO DES BUTS,"13,661",60.00,https://telega.io/channels/videodesbuts/card,444,50%,11.5%,https://t.me/videodesbuts,French
Los Blancos merengue ( Real Madrid ),"21,826",120.00,https://telega.io/channels/madrilenes/card,449,50%,13.6%,https://t.me/madrilenes,French
Goal Sport™,"42,626",34.80,https://telega.io/channels/goal_sport_football/card,2.6K,50%,10.9%,https://t.me/goal_sport_football,English
FOOTY TOUCH | EuroFootball,"42,840",9.60,https://telega.io/channels/+VKgwxhqUWAIzZGY6/card,435,95%,12.0%,https://t.me/+VKgwxhqUWAIzZGY6,English
Inter Miami Videos,"6,206",6.12,https://telega.io/channels/messimedia/card,328,70%,30.0%,https://t.me/messimedia,English
⚽️ Chelsea Football Club 💙,"124,032",60.00,https://telega.io/channels/ChelseaFcWorldWide_001/card,347,50%,8.2%,https://t.me/ChelseaFcWorldWide_001,English
Real Madrid fra,"35,693",420.00,https://telega.io/channels/RealMadrid_Fra/card,1.1K,80%,12.8%,https://t.me/RealMadrid_Fra,French
ETHIO-ARSENAL™️,"346,889",30.00,https://telega.io/channels/ETHIO_ARSENAL/card,1.3K,70%,11.2%,https://telegram.me/ETHIO_ARSENAL,Amharic
4-3-3 Sport Highlight,"565,554",24.00,https://telega.io/channels/+rgd78g2LuG1jOWU0/card,555,55%,14.7%,https://t.me/+rgd78g2LuG1jOWU0,English
Mumbai indians status fans Rohitsharma IPL IPL STATUS,"2,657",18.00,https://telega.io/channels/MUMBAI_INDIANS_FANS_STATUS/card,356,90%,4.0%,https://t.me/MUMBAI_INDIANS_FANS_STATUS,English
ChelseaFC fr,"10,643",120.00,https://telega.io/channels/ChelseafcFr/card,315,75%,14.4%,https://t.me/ChelseafcFr,French
CRICKET SPORTS TV,"30,675",132.00,https://telega.io/channels/CricketSports_Tv/card,4.3K,85%,8.3%,https://t.me/CricketSports_Tv,English
Cricket Status India IPL status Indian Cricket fans,"5,436",15.60,https://telega.io/channels/INDIAN_CRICKET_FANS/card,457,75%,8.2%,https://t.me/INDIAN_CRICKET_FANS,English
Juventus FC,"27,334",32.40,https://telega.io/channels/juventus/card,1.8K,50%,10.4%,https://telegram.me/juventus,English
Sky sports football,"3,503",24.00,https://telega.io/channels/transfer_talks/card,453,60%,7.8%,https://t.me/transfer_talks,English
Transfer News Football,"91,932",36.00,https://telega.io/channels/transfer_news_football/card,1.3K,50%,13.2%,https://t.me/transfer_news_football,English
Ajax,"11,205",8.40,https://telega.io/channels/Ajaxfootballclubb/card,659,70%,5.8%,https://t.me/Ajaxfootballclubb,English
LIONEL MESSI,"68,336",48.00,https://telega.io/channels/Messi_lionel_uk/card,348,95%,13.4%,https://t.me/Messi_lionel_uk,English
TÉLÉ-FOOT🇫🇷,"24,260",36.00,https://telega.io/channels/+9rUxTp848W9iNTFk/card,499,50%,4.0%,https://t.me/+9rUxTp848W9iNTFk,French
Goal Videos,"45,074",36.00,https://telega.io/channels/goalvideoshub/card,1.0K,70%,18.5%,https://t.me/goalvideoshub,English
Premier League Fr,"17,644",120.00,https://telega.io/channels/PremierLeagueFra/card,580,70%,8.2%,https://telegram.me/PremierLeagueFra,French
LaLiga Fr,"16,560",108.00,https://telega.io/channels/LaligaFR/card,405,75%,16.2%,https://t.me/LaligaFR,French
ACTU-FOOT ARCHIVE⚽️,"24,089",270.00,https://telega.io/channels/Actufoot_Archive/card,808,75%,11.2%,https://t.me/Actufoot_Archive,French
LEO ARMY,"15,052",9.60,https://telega.io/channels/Leo_army/card,406,80%,4.6%,https://telegram.me/Leo_army,English
LaLiga,"12,015",9.60,https://telega.io/channels/+za8ZTezQGiQ0NzBk/card,402,85%,6.2%,https://t.me/+za8ZTezQGiQ0NzBk,English
4-3-3 ብስራት ስፖርት በኢትዮጵያ,"109,300",4.80,https://telega.io/channels/bisrat_sport_433_ethio/card,664,75%,3.6%,https://telegram.me/bisrat_sport_433_ethio,Amharic
Chelsea FC 🔵,"126,964",73.20,https://telega.io/channels/+_xNAeYaEOWc3YmI0/card,1.5K,65%,11.4%,https://t.me/+_xNAeYaEOWc3YmI0,English
Borussia Dortmund,"14,237",12.00,https://telega.io/channels/borussia_dortmund/card,750,70%,6.7%,https://t.me/borussia_dortmund,German
Real Madrid C.F.,"106,444",39.60,https://telega.io/channels/real_madrid/card,2.2K,50%,13.1%,https://t.me/real_madrid,English
Bayern Munich,"38,450",31.20,https://telega.io/channels/Bayern_Munich/card,1.5K,50%,10.1%,https://telegram.me/Bayern_Munich,English
UTD Passion | Manchester United,"7,392",4.80,https://telega.io/channels/+KQx2IV9U9M41NGUy/card,331,95%,28.2%,https://t.me/+KQx2IV9U9M41NGUy,English
FOOTY QUOTES 📢,"9,726",4.80,https://telega.io/channels/+swGpxxUmNLZlNzUy/card,550,95%,22.3%,https://t.me/+swGpxxUmNLZlNzUy,English
433,"1,002",12.00,https://telega.io/channels/bestfoot433/card,358,50%,40.0%,https://t.me/bestfoot433,English
LIVERPOOL FC,"73,059",45.60,https://telega.io/channels/liverpool_worldwide/card,979,50%,10.2%,https://t.me/liverpool_worldwide,English
Uefa Champions League,"53,430",26.40,https://telega.io/channels/uefa_champ_league/card,1.1K,50%,7.7%,https://telegram.me/uefa_champ_league,English
Chelsea Women FC,"14,369",12.60,https://telega.io/channels/ChelseaWomen_FC/card,436,85%,16.7%,https://t.me/ChelseaWomen_FC,English
11vs11Arena,"20,822",8.40,https://telega.io/channels/en11vs11arena/card,538,50%,1.9%,https://telegram.me/en11vs11arena,English
Chelsea FC,"32,188",24.00,https://telega.io/channels/Chealsea/card,1.9K,50%,11.3%,https://t.me/Chealsea,English
TIA Chelsea Futbal Media,"53,165",24.00,https://telega.io/channels/tiacfutbal/card,858,85%,10.2%,https://t.me/tiacfutbal,English
FC Barcelona,"27,687",30.00,https://telega.io/channels/barcelona_eng/card,540,50%,15.1%,https://t.me/barcelona_eng,English
Football news and rumours,"53,998",30.00,https://telega.io/channels/FabrizioRomano_news/card,2.4K,50%,--,https://t.me/FabrizioRomano_news,English
CHELSEA MEDIA 🎥,"18,067",17.98,https://telega.io/channels/ChelseaFC_Media/card,688,75%,24.0%,https://t.me/ChelseaFC_Media,English
Premier League,"49,197",30.00,https://telega.io/channels/english_premier_league_links/card,802,50%,10.7%,https://t.me/english_premier_league_links,English
FOOTBALL COMEDIE 😂,"12,051",120.00,https://telega.io/channels/FootballComedie/card,283,75%,16.1%,https://t.me/FootballComedie,French
Official Cricket  News,"11,632",3.72,https://telega.io/channels/SLCrickNews/card,1.5K,75%,12.8%,https://t.me/SLCrickNews,Hindi
InterHub,"9,910",18.00,https://telega.io/channels/InterHubUfficiale/card,527,90%,27.9%,https://t.me/InterHubUfficiale,Italian
CRICKET NEWS LIVE,"18,550",60.00,https://telega.io/channels/+7uDCjYISwVgwZTM1/card,217,90%,9.6%,https://t.me/+7uDCjYISwVgwZTM1,English
SofaScore,"32,202",36.00,https://telega.io/channels/+fD-B7n2g7Yg3N2E0/card,406,70%,9.2%,https://t.me/+fD-B7n2g7Yg3N2E0,English
Paris Saint-Germain | PSG,"23,617",22.80,https://telega.io/channels/Paris_Saint_Germaiin/card,1.2K,50%,5.8%,https://t.me/Paris_Saint_Germaiin,English
Sky Sports World,"34,793",30.72,https://telega.io/channels/+FlxWWNpKg140ODlk/card,525,70%,3.8%,https://t.me/+FlxWWNpKg140ODlk,English
La Casa Blanca RM,"34,195",30.00,https://telega.io/channels/LCBlancaRMA/card,1.7K,85%,12.7%,https://t.me/LCBlancaRMA,Spanish
Cristiano Ronaldo,"58,054",28.80,https://telega.io/channels/cristiano/card,6.7K,50%,11.5%,https://telegram.me/cristiano,English
Bundesliga,"15,124",16.80,https://telega.io/channels/+PBj89wbSd-7HZrT8/card,689,50%,9.0%,https://t.me/+PBj89wbSd-7HZrT8,English
Manchester United,"55,129",38.40,https://telega.io/channels/manchester_united_uk/card,2.5K,50%,14.9%,https://t.me/manchester_united_uk,English
Premier League ES,"13,810",14.40,https://telega.io/channels/PremierLeague_ES/card,174,95%,--,https://t.me/PremierLeague_ES,Spanish
Football Pictures That Impress,"17,751",13.20,https://telega.io/channels/PCcQNIdZ8PjQvMnc/card,1.5K,75%,5.5%,https://t.me/joinchat/PCcQNIdZ8PjQvMnc,English
Gunners Update,"21,812",14.40,https://telega.io/channels/gunners_update/card,352,80%,8.6%,https://t.me/gunners_update,English
"Enlaces de fútbol, fórmula 1, tenis, toros !! ¡¡Gratis!!","5,443",5.99,https://telega.io/channels/+oJPOVIVley42YjU8/card,2.7K,45%,11.4%,https://t.me/+oJPOVIVley42YjU8,Spanish
Benfica,"8,716",9.60,https://telega.io/channels/benfica/card,668,80%,5.8%,https://t.me/benfica,English
Inter Milan,"13,275",21.60,https://telega.io/channels/inter_milan/card,803,50%,5.8%,https://t.me/inter_milan,English
Official Cricket Status,"10,795",3.72,https://telega.io/channels/SLCrickStatus/card,1.7K,85%,15.6%,https://t.me/SLCrickStatus,Other
THE GOAT LM♾ 🐐,"63,326",12.00,https://telega.io/channels/The_Goat_Lm10/card,530,50%,7.7%,https://t.me/The_Goat_Lm10,English
Erling Haaland,"14,222",20.40,https://telega.io/channels/erling_haaland/card,1.2K,50%,11.0%,https://t.me/erling_haaland,English
David Ornstein,"8,649",8.40,https://telega.io/channels/David_Ornstein_Updates/card,467,90%,16.2%,https://t.me/David_Ornstein_Updates,English
Football Daily,"17,964",10.80,https://telega.io/channels/Footballdailynews3/card,386,85%,5.7%,https://t.me/Footballdailynews3,English
SuperSportCBS,"39,230",33.60,https://telega.io/channels/supersportcbss/card,2.9K,80%,10.1%,https://t.me/supersportcbss,English
Transfer News Live,"34,682",22.80,https://telega.io/channels/TransferNews_Live/card,491,65%,7.4%,https://t.me/TransferNews_Live,English
SAUDI LEAGUE,"7,281",6.00,https://telega.io/channels/Saudi_League_Updates/card,492,90%,6.9%,https://t.me/Saudi_League_Updates,English
Al Hilal | Neymar,"9,385",10.80,https://telega.io/channels/NeymarJrAlHilal/card,564,50%,12.6%,https://t.me/NeymarJrAlHilal,English
KYLIAN MBAPPE,"13,428",9.60,https://telega.io/channels/Mbappe_KM10/card,557,85%,7.5%,https://t.me/Mbappe_KM10,English
Paris Saint-Germain,"16,237",138.00,https://telega.io/channels/ParisSGFr/card,557,70%,6.7%,https://t.me/ParisSGFr,French
Toque de Fútbol,"13,197",4.80,https://telega.io/channels/+Xlfx77HJpZZmOTgy/card,348,95%,14.0%,https://t.me/+Xlfx77HJpZZmOTgy,Spanish
Cricket Status India | T20 world | INDIAN FANS | India,"3,594",18.00,https://telega.io/channels/CRICKET_VIDEOS_STATUS/card,330,80%,4.0%,https://t.me/CRICKET_VIDEOS_STATUS,English
Al-Ittihad,"6,016",15.60,https://telega.io/channels/al_ittihad/card,313,65%,3.6%,https://t.me/al_ittihad,English
AC Milan,"18,445",18.00,https://telega.io/channels/Milan/card,4.4K,50%,4.5%,https://t.me/Milan,English
FC Bayern Munich,"11,107",54.00,https://telega.io/channels/BayernMunichfra/card,335,50%,6.1%,https://t.me/BayernMunichfra,French
Sports News & Goal Videos,"7,454",36.00,https://telega.io/channels/peenpasports/card,223,85%,19.3%,https://t.me/peenpasports,English
BB Sports TV 3 CH,"17,183",1.80,https://telega.io/channels/bbsportstv3ch/card,14.5K,70%,17.8%,https://t.me/bbsportstv3ch,Spanish
Kylian Mbappe,"12,254",3.60,https://telega.io/channels/Mbappe_Kylian_France/card,222,95%,1.3%,https://t.me/Mbappe_Kylian_France,English
Football factly,"40,422",21.60,https://telega.io/channels/FootballFactly/card,1.5K,85%,13.8%,https://t.me/FootballFactly,English
PREMIER LEAGUE,"34,059",39.60,https://telega.io/channels/PremierLeague_football/card,698,50%,11.1%,https://t.me/PremierLeague_football,English
Fantasy Premier League,"32,752",24.00,https://telega.io/channels/Fantasy_Epl/card,3.2K,50%,15.5%,https://t.me/Fantasy_Epl,English
Inter Miami CF Official Fan page,"3,910",9.60,https://telega.io/channels/inter_miami_MESSI_10/card,157,80%,3.3%,https://t.me/inter_miami_MESSI_10,English
Goat Sport,"2,724",2.40,https://telega.io/channels/FutbolUnited2023/card,285,50%,9.2%,https://t.me/FutbolUnited2023,Spanish
Oduu sportii,"4,390",1.20,https://telega.io/channels/odusportii/card,165,75%,3.1%,https://t.me/odusportii,English
UFC [ES],"8,556",9.60,https://telega.io/channels/UFC_LATAM/card,183,90%,27.0%,https://t.me/UFC_LATAM,Spanish
CRICKET FEVER - NEWS 🇱🇰,"11,912",5.88,https://telega.io/channels/cricketfever_news/card,1.1K,100%,10.5%,https://t.me/cricketfever_news,Sinhala
CRICKET FEVER 🇱🇰 - VIDEOS & MEMES,"7,526",5.76,https://telega.io/channels/SL_CRICKETSTATUS/card,688,75%,14.5%,https://t.me/SL_CRICKETSTATUS,Sinhala
VIDEO CHANNEL | HIGHLIGHTS,"1,202",2.40,https://telega.io/channels/+VFeMAJ6ZWjNjNTFl/card,95,70%,13.0%,https://t.me/+VFeMAJ6ZWjNjNTFl,English
Alazar Asegdom - አላዓዛር አሰግዶም,"14,669",8.40,https://telega.io/channels/Alazar_asgedom/card,187,50%,31.7%,https://t.me/Alazar_asgedom,Amharic
Kolkata Knight Riders Status Fans IPL KKR India,"2,007",9.60,https://telega.io/channels/KOLKATA_KNIGHT_RIDERS_STATUS/card,256,80%,6.6%,https://t.me/KOLKATA_KNIGHT_RIDERS_STATUS,English
Serie A [ES],"1,579",12.00,https://telega.io/channels/SerieA_ES/card,205,50%,15.2%,https://t.me/SerieA_ES,Spanish
The BluesHub Videos,"13,176",13.20,https://telega.io/channels/Theblueshub2/card,741,80%,20.9%,https://t.me/Theblueshub2,English
THE FOOTBALL HUB ⚽️⚡️,"30,190",25.20,https://telega.io/channels/+SxGF1F2RhG0yNWY0/card,1.7K,50%,13.2%,https://t.me/+SxGF1F2RhG0yNWY0,English
Inter Miami,"27,155",25.20,https://telega.io/channels/inter_miami/card,899,50%,9.8%,https://t.me/inter_miami,English
♾⚽️❤️𝔽𝕠𝕠𝕥𝕓𝕒𝕝𝕝 𝕃𝕠𝕧𝕖𝕣𝕤 𝕊𝕃❤️🇱🇰♾,"2,271",1.20,https://telega.io/channels/Football_lovers_srilanka/card,290,50%,1.1%,https://t.me/Football_lovers_srilanka,English
FUTBOL | ES 🇪🇦,"44,604",24.00,https://telega.io/channels/FUT_ES/card,1.9K,90%,19.1%,https://t.me/FUT_ES,Spanish
Football Memes,"33,009",20.40,https://telega.io/channels/soccer_memes/card,2.0K,50%,12.7%,https://telegram.me/soccer_memes,English
TROLL FOOTBALL,"1,675",14.40,https://telega.io/channels/FOOT_BALL_TROLLL/card,347,50%,--,https://t.me/FOOT_BALL_TROLLL,English
Cristiano Ronaldo🐐,"32,549",24.00,https://telega.io/channels/Cristiano_Ronaldo_Updates/card,458,80%,10.6%,https://t.me/Cristiano_Ronaldo_Updates,English
Liverpool,"24,629",25.20,https://telega.io/channels/_74vVHHlToNiODg0/card,1.5K,50%,10.3%,https://t.me/joinchat/_74vVHHlToNiODg0,English
Historia del Fútbol ⚽️,553,2.40,https://telega.io/channels/Historia_Del_Futbol/card,297,50%,9.1%,https://t.me/Historia_Del_Futbol,English
Al-Nassr,"24,051",15.60,https://telega.io/channels/al_nassr/card,1.1K,50%,19.0%,https://t.me/al_nassr,English
LVBP ⚾️🔥,"10,174",4.80,https://telega.io/channels/lvbp_ve/card,1.4K,75%,31.9%,https://t.me/lvbp_ve,Spanish
UFC,"49,611",24.00,https://telega.io/channels/ufc_spanish/card,5.7K,90%,37.1%,https://t.me/ufc_spanish,Spanish
PSG | Paris Saint-Germain,"37,321",22.80,https://telega.io/channels/paris_saint_geermain/card,634,65%,4.5%,https://t.me/paris_saint_geermain,English
Kevin De Bruyne🇧🇪🔵,"2,412",4.80,https://telega.io/channels/Kevin_De_Bruynee/card,165,80%,10.5%,https://t.me/Kevin_De_Bruynee,English
The BluesHub,"20,034",12.84,https://telega.io/channels/+jXcMj4Vy77IwZGZk/card,740,75%,13.0%,https://t.me/+jXcMj4Vy77IwZGZk,English
bet sport by bookmaker betting GOAL News™,"108,805",18.00,https://telega.io/channels/goal_football9/card,502,85%,14.7%,https://t.me/goal_football9,English
BBC Sport,"22,771",21.60,https://telega.io/channels/SRJ4btO-OWNYB6bR/card,1.7K,50%,8.7%,https://t.me/joinchat/SRJ4btO-OWNYB6bR,English
Transfer News 24/7,"14,291",8.40,https://telega.io/channels/transfers247/card,480,50%,2.7%,https://telegram.me/transfers247,English
Arsenal Official,"30,080",18.00,https://telega.io/channels/Arsenalc/card,915,50%,12.1%,https://t.me/Arsenalc,English
FC BARCELONA™️,"34,534",42.00,https://telega.io/channels/Barcelona_worldwide/card,228,85%,21.4%,https://t.me/Barcelona_worldwide,English
Messi and Ronaldo🔥,"12,697",9.60,https://telega.io/channels/MessiVsRonaldoStats/card,884,85%,13.2%,https://t.me/MessiVsRonaldoStats,English
المدرب الافضل | OSM,"9,907",34.80,https://telega.io/channels/osm23_24/card,207,60%,7.7%,https://t.me/osm23_24,Arabic
#MUFC Video & Stats🎥📊,"43,433",36.00,https://telega.io/channels/MUFCVIDEOSS/card,720,50%,23.7%,https://t.me/MUFCVIDEOSS,English
LiverpoolFC Fr,"13,655",60.00,https://telega.io/channels/LiverpoolFra/card,389,75%,7.6%,https://t.me/LiverpoolFra,French
🥊 UFC • MMA 🥊,304,2.40,https://telega.io/channels/ufc_mma_full_fights/card,361,90%,--,https://t.me/ufc_mma_full_fights,English
Serie A // Italian Football,"18,664",20.40,https://telega.io/channels/Serie_A/card,774,50%,11.1%,https://telegram.me/Serie_A,English
Premier League FR 🇫🇷,"28,375",42.00,https://telega.io/channels/PremierLeagueFR/card,227,75%,--,https://t.me/PremierLeagueFR,French
Sofa Score,"65,688",36.00,https://telega.io/channels/sofascore_uk/card,298,50%,10.6%,https://t.me/sofascore_uk,English
Sansürsüz Spor,"11,432",48.00,https://telega.io/channels/sansursuzsport/card,128,75%,--,https://t.me/sansursuzsport,Turkish
NBA,"1,447",1.80,https://telega.io/channels/juegosenvivonba/card,454,30%,9.4%,https://t.me/juegosenvivonba,Spanish
Burqaa Ispoortii,"120,810",18.00,https://telega.io/channels/BurqaaIspoortii/card,4.5K,85%,12.2%,https://t.me/BurqaaIspoortii,Other
ONZEDUFOOT,"21,778",240.00,https://telega.io/channels/onzedufoot/card,346,50%,10.4%,https://t.me/onzedufoot,French
LVBP | OFICIAL,"9,573",27.60,https://telega.io/channels/LVBP_ES/card,378,50%,27.9%,https://telegram.me/LVBP_ES,Spanish
⚽️Actu-Foot Zone fR 🇫🇷,"49,680",34.80,https://telega.io/channels/ActuFootZoneFr/card,414,85%,5.8%,https://t.me/ActuFootZoneFr,French
NBA TV,"5,363",30.00,https://telega.io/channels/nbatvlive/card,470,50%,9.4%,https://t.me/nbatvlive,English
Milan AC,"17,628",27.60,https://telega.io/channels/+V5kDxqx9uFPDZUKq/card,170,75%,9.8%,https://t.me/+V5kDxqx9uFPDZUKq,English
Atletico Madrid,"19,491",10.80,https://telega.io/channels/madrid_atletico/card,391,70%,7.4%,https://t.me/madrid_atletico,English
Jude Bellingham,"15,667",3.59,https://telega.io/channels/jude_bellingham_official/card,565,55%,2.9%,https://t.me/jude_bellingham_official,English
ELEVEN FOOTBALL ⚽️,"11,031",18.00,https://telega.io/channels/ElevenFootball11/card,253,65%,3.5%,https://telegram.me/ElevenFootball11,English
⚽️FÚTBOL LIFE🏆,"9,027",6.00,https://telega.io/channels/+GVRpJ7IlpYA5MmVh/card,196,50%,5.5%,https://t.me/+GVRpJ7IlpYA5MmVh,Spanish
Manchester City,"42,470",24.00,https://telega.io/channels/Mancity247/card,1.1K,75%,--,https://telegram.me/Mancity247,English
Sevilla,"11,495",9.60,https://telega.io/channels/sevilla/card,2.2K,50%,3.2%,https://t.me/sevilla,Spanish
🇻🇪 | Venezuela Gol,"2,039",18.00,https://telega.io/channels/VenezuelaGol/card,163,50%,--,https://t.me/VenezuelaGol,Spanish
🥇 Gol al 90' 🥇,"12,543",12.00,https://telega.io/channels/Goolal90/card,236,50%,9.0%,https://t.me/Goolal90,Spanish
Transfer // NEWS,0,20.40,https://telega.io/channels/+jj_z07AzT_FmM2Vk/card,93,75%,--,https://t.me/+jj_z07AzT_FmM2Vk,English
EuroFoot,"11,490",14.40,https://telega.io/channels/+bmGR6CiF1UQxNDNk/card,661,50%,10.7%,https://t.me/+bmGR6CiF1UQxNDNk,English
Canal UFC NOTICIAS,"33,717",13.20,https://telega.io/channels/canalufcnoticias/card,1.2K,95%,14.2%,https://t.me/canalufcnoticias,Spanish
Universo Football.🗞⚽️,"4,479",12.00,https://telega.io/channels/universofooty/card,140,50%,--,https://telegram.me/universofooty,Spanish
TIA C Futbal Videos,"6,209",8.40,https://telega.io/channels/tiacfutbalvideos/card,159,95%,34.4%,https://t.me/tiacfutbalvideos,English
Liverscore,"33,402",18.00,https://telega.io/channels/+PwNYcqkDWuoyNDY0/card,132,70%,11.0%,https://t.me/+PwNYcqkDWuoyNDY0,English
CRICKET HIGHLIGHTS,"1,810",2.40,https://telega.io/channels/World_cup_2023_highlights/card,453,60%,11.3%,https://t.me/World_cup_2023_highlights,English
Transfer Market,"20,125",18.00,https://telega.io/channels/Transfer_Market_Update/card,463,50%,8.7%,https://t.me/Transfer_Market_Update,English
Somos Blaugrana 🔵🔴,"5,607",9.60,https://telega.io/channels/BlaugranaSomos/card,376,85%,37.2%,https://t.me/BlaugranaSomos,Spanish
Tottenham Hotspur FC⚪️,"6,942",7.80,https://telega.io/channels/Tottenham_Hotspur_Updates/card,281,50%,5.8%,https://t.me/Tottenham_Hotspur_Updates,English
🦋𝐅𝐢𝐧𝐞𝐬 𝐂𝐚𝐝𝐚 𝐃𝐢𝐚 𝐌𝐞𝐣𝐨𝐫🪼,"3,181",3.60,https://telega.io/channels/Perder_Peso_GYM/card,201,80%,6.5%,https://t.me/Perder_Peso_GYM,Spanish
ትሪቡን ስፖርት,"28,428",9.60,https://telega.io/channels/Tribun_SportEt/card,141,50%,16.3%,https://t.me/Tribun_SportEt,Amharic
FotMob,"2,504",3.60,https://telega.io/channels/footmobgoals/card,139,95%,17.9%,https://t.me/footmobgoals,English
GOAL,"16,860",18.00,https://telega.io/channels/goal_news_football/card,173,50%,--,https://telegram.me/goal_news_football,English
"Gamtaa Ispoortii ➡️ Oduu Sportii, qophii sportii, kubbaa miilaa, premier league sport Afaan Oromoo","1,709",7.08,https://telega.io/channels/Gamtaa_ispoortii/card,137,50%,9.6%,https://t.me/Gamtaa_ispoortii,English
Juegos en Vivo,"1,707",2.40,https://telega.io/channels/juegovivo/card,299,60%,5.6%,https://t.me/juegovivo,English
