channel_name,followers,price,telega_link,view,male_ratio,tg_link,language
Raf Ɗrop,"2,788",2.40,https://telega.io/channels/rafdrop/card,0,70%,https://telegram.me/rafdrop,English
Crypto Bot Mastery,"8,353",3.60,https://telega.io/channels/Hamster_Empire_intelligence/card,0,50%,https://t.me/Hamster_Empire_intelligence,English
Kenna Tech,"9,736",6.00,https://telega.io/channels/Kenna61/card,1.2K,80%,https://t.me/Kenna61,English
AirDrops - Coinatory,"3,852",6.00,https://telega.io/channels/coinatory_airdrops/card,96,50%,https://t.me/coinatory_airdrops,English
Link layer Files & Crypto,"4,850",2.40,https://telega.io/channels/linklayerethiopia/card,1.1K,65%,https://t.me/linklayerethiopia,English
Bot 🤖 Airdrops,"23,353",60.00,https://telega.io/channels/hamster_game_Code0/card,1.3K,50%,https://t.me/hamster_game_Code0,English
Ethio YouTube solution,"2,353",2.40,https://telega.io/channels/EthioYs/card,271,90%,https://t.me/EthioYs,English
ABBU TECH ®,"23,707",6.00,https://telega.io/channels/Abbu_Tech/card,3.5K,50%,https://telegram.me/Abbu_Tech,Other
4-3-3 Web Drops,"28,474",30.00,https://telega.io/channels/Website_Airdrop_433/card,7.6K,50%,https://telegram.me/Website_Airdrop_433,English
Tether Faucet Bot,"18,641",12.00,https://telega.io/channels/TetherFaucet/card,374,85%,https://telegram.me/TetherFaucet,English
👁️GOD|°|MOD👁️,"5,015",3.60,https://telega.io/channels/batmandrop1/card,27,45%,https://telegram.me/batmandrop1,English
Legit Crypto Hub,"1,443",2.40,https://telega.io/channels/testchannel23forcrypto/card,86,80%,https://t.me/testchannel23forcrypto,English
DEMON EMPEROR,"5,023",1.20,https://telega.io/channels/DemonTunnel/card,344,85%,https://telegram.me/DemonTunnel,English
𝕝𝕖𝕘𝕚𝕥 𝕒𝕚𝕣𝕕𝕣𝕠𝕡𝕤,813,3.00,https://telega.io/channels/ethio_legit_airdrop/card,0,50%,https://t.me/ethio_legit_airdrop,English
Hagere Techs Official,"2,140",9.60,https://telega.io/channels/hageretechs/card,85,70%,https://t.me/hageretechs,English
Miners tube,"3,160",1.20,https://telega.io/channels/Ethiominerr/card,1.1K,65%,https://telegram.me/Ethiominerr,Amharic
WHALE OF GEMS,"4,558",2.40,https://telega.io/channels/whaleofgems/card,196,50%,https://telegram.me/whaleofgems,English
Airdrops [ crypto ],"1,246",4.80,https://telega.io/channels/yes4all/card,25,50%,https://t.me/yes4all,English
⚜️ 𝐒𝐋 𝐂𝐑𝐘𝐏𝐓𝐎 𝐇𝐎𝐔𝐒𝐄 🇱🇰,835,1.20,https://telega.io/channels/SL_CRYPTO_HOUSE1/card,188,50%,https://t.me/SL_CRYPTO_HOUSE1,English
NISH Legit Buyer KYC,"8,419",4.20,https://telega.io/channels/NISH_LEGIT_BUYER_KYC/card,297,80%,https://t.me/NISH_LEGIT_BUYER_KYC,English
SMILEY EDITS|❤|| HD STATUS❤,"19,423",6.00,https://telega.io/channels/+vwT64FhXip9mOTE1/card,303,50%,https://t.me/+vwT64FhXip9mOTE1,Hindi
🕌SALIH IBN ZEYN'S general altitude🌎🕌☪,"3,422",8.40,https://telega.io/channels/salihibnzeynofficial/card,58,50%,https://t.me/salihibnzeynofficial,English
Crypto alert,"8,643",36.00,https://telega.io/channels/thetopairdrop/card,1.4K,70%,https://t.me/thetopairdrop,English
X Empier Combo Daily,"5,067",1.20,https://telega.io/channels/XEmpire_dailyCombo1/card,682,70%,https://t.me/XEmpire_dailyCombo1,English
Eba Digital,"14,284",4.80,https://telega.io/channels/EbaDigital/card,3.5K,60%,https://telegram.me/EbaDigital,Other
Hojii Online,"2,195",2.40,https://telega.io/channels/+qliYrrcQ5UMyZTg0/card,168,50%,https://t.me/+qliYrrcQ5UMyZTg0,English
Hamester Daily Combo & Siper Tech,"1,056",2.40,https://telega.io/channels/Habeshanpublic1/card,194,50%,https://t.me/Habeshanpublic1,Amharic
Kurulus osman በአማርኛ 🇪🇹,"8,093",4.80,https://telega.io/channels/kurlus_osman_et/card,1.6K,60%,https://t.me/kurlus_osman_et,English
𝗗𝗥𝗢𝗣 𝗖𝗥𝗬𝗣𝗧𝗢𝗦🪂,"1,769",1.43,https://telega.io/channels/drop_Cryptos/card,137,65%,https://telegram.me/drop_Cryptos,English
Qophii Qormaataa,"2,218",4.80,https://telega.io/channels/qophiiqormaataa/card,147,75%,https://t.me/qophiiqormaataa,English
Tesfa Crypto,"2,690",12.00,https://telega.io/channels/Tesfa_Crypto/card,1.9K,65%,https://t.me/Tesfa_Crypto,Amharic
Airdrops News⚡️/ TELEGRAM / TON / FREE EARNINGS,"1,087",1.20,https://telega.io/channels/airdropnews03/card,25,60%,https://t.me/airdropnews03,English
StarsFi Daily Combo,"4,305",12.00,https://telega.io/channels/Starsfi_daily_comboss/card,2.1K,80%,https://t.me/Starsfi_daily_comboss,English
Quietly Airdrops,"4,368",2.40,https://telega.io/channels/QuietlyAirdrops1/card,72,80%,https://t.me/QuietlyAirdrops1,English
Airdrop Hunter,"1,526",1.20,https://telega.io/channels/infocointokenmicinterupdate/card,0,50%,https://t.me/infocointokenmicinterupdate,English
¤ Heni tube ¤©™,"14,767",6.00,https://telega.io/channels/heni_tube/card,6,50%,https://telegram.me/heni_tube,English
Hamster Kombat community,413,2.40,https://telega.io/channels/HamsterKombatcommunit/card,24,50%,https://t.me/HamsterKombatcommunit,English
EFTrading Airdrop 👩‍💻,773,1.20,https://telega.io/channels/EFTradingAirdrop/card,12,50%,https://t.me/EFTradingAirdrop,Amharic
Bơ Caller - Chat Group 🥑,"6,342",252.00,https://telega.io/channels/AvocadoCallschat/card,0,50%,https://t.me/AvocadoCallschat,English
Airdrop YT📈🏷,945,2.40,https://telega.io/channels/airdrop13191/card,249,50%,https://t.me/airdrop13191,English
Moe exit exam,"3,610",1.20,https://telega.io/channels/moeexitexam2017/card,390,65%,https://t.me/moeexitexam2017,English
Bohaartii Media,"1,373",2.40,https://telega.io/channels/Jechama1/card,0,50%,https://t.me/Jechama1,Other
¤¤{Heni tube}¤¤,"3,309",2.40,https://telega.io/channels/heni_tube1/card,70,50%,https://telegram.me/heni_tube1,English
Hrum Daily Quotes,"18,429",120.00,https://telega.io/channels/Hrum_daily_quotes/card,1.2K,65%,https://t.me/Hrum_daily_quotes,English
Airdrops News & Updates | Latest,"2,099",12.00,https://telega.io/channels/free_new_airdrops_news_updates/card,13,50%,https://t.me/free_new_airdrops_news_updates,English
Cell Wallet Daily Combo,"1,483",9.60,https://telega.io/channels/cell_wallet_daily_combo/card,815,50%,https://t.me/cell_wallet_daily_combo,English
ሓድነት ተጋሩ#Tigrayian Association,"1,404",60.00,https://telega.io/channels/Association_of_tegaru/card,0,50%,https://t.me/Association_of_tegaru,English
Mamisha Crypto,"4,159",6.00,https://telega.io/channels/MamishaCrypto/card,537,60%,https://t.me/MamishaCrypto,English
Notcoin Market,"14,355",9.60,https://telega.io/channels/NotcoinVoucherMarket/card,52,50%,https://telegram.me/NotcoinVoucherMarket,English
Blum cats Youtube video codes,"1,483",2.40,https://telega.io/channels/Cats_Video_Code_0/card,571,50%,https://t.me/Cats_Video_Code_0,English
Airdrop Growth,"32,728",24.00,https://telega.io/channels/AirdropGrowth/card,0,50%,https://t.me/AirdropGrowth,English
Airdrop Avenue,"2,622",6.00,https://telega.io/channels/airdropp_avenue/card,288,50%,https://t.me/airdropp_avenue,English
𝗰𝗿𝘆𝗽𝘁𝗼 𝘀𝗽𝗮𝗰𝗲,995,1.20,https://telega.io/channels/airdrop_et10/card,41,70%,https://t.me/airdrop_et10,English
𝙢𝙤𝙣𝙚𝙮 𝙢𝙖𝙠𝙞𝙣𝙜 𝙚𝙡𝙞𝙩𝙚,"2,284",3.00,https://telega.io/channels/ethiocrypto8/card,0,50%,https://t.me/ethiocrypto8,English
𝙸𝙽𝚅𝙴𝚂𝚃 𝙱𝙾𝚃𝚂 𝙰𝙽𝙳 𝚃𝚁𝙸𝙲𝙺𝚂,"4,263",3.60,https://telega.io/channels/investbotsandtricks/card,48,75%,https://telegram.me/investbotsandtricks,English
Eigenlayer Airdrop,"120,581",30.00,https://telega.io/channels/EigenAirdropAnnouncement/card,6.1K,95%,https://t.me/EigenAirdropAnnouncement,English
Afreecash Online [ airdrop - crypto monnaie- investissement ],"9,583",12.00,https://telega.io/channels/afreecashonlin/card,565,50%,https://t.me/afreecashonlin,French
Kiyyaa Tech,"6,715",4.80,https://telega.io/channels/kiyyaa_tech/card,166,50%,https://t.me/kiyyaa_tech,English
Airdrop,"3,307",2.40,https://telega.io/channels/Airdrop_Toncoin_1/card,0,50%,https://t.me/Airdrop_Toncoin_1,English
Neva $ Hunter 🤑,570,2.40,https://telega.io/channels/NevaHunter/card,52,50%,https://t.me/NevaHunter,English
Memefi Combo || Memefi Video Code,"145,748",36.00,https://telega.io/channels/MemefiVideoCode_Combo/card,7.4K,50%,https://t.me/MemefiVideoCode_Combo,English
Airdrop Daily Gems,"101,422",120.00,https://telega.io/channels/airdropdailygm12/card,0,50%,https://t.me/airdropdailygm12,English
Crypto Trader 01,534,3.60,https://telega.io/channels/newworld121212/card,0,50%,https://t.me/newworld121212,English
Mundo Inversiones - Canal.,"2,051",6.00,https://telega.io/channels/MundoInversionesCanal/card,518,65%,https://t.me/MundoInversionesCanal,Spanish
Gentle Moon,"2,111",24.00,https://telega.io/channels/G_e_n_t_l_e_M_o_o_n/card,165,50%,https://t.me/G_e_n_t_l_e_M_o_o_n,Arabic
Eagle Crypto™,"17,284",4.80,https://telega.io/channels/imruon/card,1.4K,50%,https://t.me/imruon,English
Egg Tapper Daily Combos || Hrum Daily Combo,"4,628",14.40,https://telega.io/channels/eggtapper_hrum_tomarket_major/card,1.3K,75%,https://t.me/eggtapper_hrum_tomarket_major,English
Ethio Airdrop Station,"1,690",1.20,https://telega.io/channels/ethioairdropstation/card,56,75%,https://telegram.me/ethioairdropstation,English
الربح من الانترنت🔥,"5,339",12.00,https://telega.io/channels/DXAR97/card,119,50%,https://t.me/DXAR97,Arabic
Sabaaf Tech,"6,697",6.00,https://telega.io/channels/sabaaf_tech/card,458,75%,https://telegram.me/sabaaf_tech,English
𝗡𝗔𝗧𝗜𝗢𝗡𝗦 𝗟𝗘𝗔𝗚𝗨𝗘,"2,673",12.00,https://telega.io/channels/+Ow0O-tfFa0VlMGJl/card,183,75%,https://t.me/+Ow0O-tfFa0VlMGJl,English
Quietly Crypto,"3,257",4.80,https://telega.io/channels/QuietlyCrypto/card,0,85%,https://t.me/QuietlyCrypto,English
Airdrop Scouts,"24,567",36.00,https://telega.io/channels/Airdrop_Scouts/card,379,95%,https://t.me/Airdrop_Scouts,English
༄ ᏙϴᏆᎡ ᎪΝᏆᎷᎬ 𓂀︎,"2,033",6.00,https://telega.io/channels/Voir_Animes/card,38,50%,https://t.me/Voir_Animes,English
On stream OFFICIAL 2024,"19,417",3.60,https://telega.io/channels/Onstream_apk/card,1.1K,75%,https://t.me/Onstream_apk,English
Not pixel bot,"2,588",3.60,https://telega.io/channels/notpixel_botttt/card,119,85%,https://t.me/notpixel_botttt,English
Ethio Money💰💰💰,"4,283",2.40,https://telega.io/channels/ethiomoney12/card,321,80%,https://t.me/ethiomoney12,Amharic
Airdrop Ethiopia Chat,"3,956",12.00,https://telega.io/channels/EtAirdrops/card,0,75%,https://t.me/EtAirdrops,English
°•~•° 🅱🅴🆃 🅼🅰🆂🆃🅴🆁🆂 02°•~•°,625,2.40,https://telega.io/channels/SlBetMasters02/card,31,50%,https://t.me/SlBetMasters02,English
Ethio crypto,"7,470",6.00,https://telega.io/channels/Newcrypto4/card,413,60%,https://t.me/Newcrypto4,English
ORO-CRYPTO,"9,319",3.60,https://telega.io/channels/jaalala_dhuga/card,0,50%,https://telegram.me/jaalala_dhuga,English
Olympian አውቶ የመኪና ገበያ,"8,174",4.80,https://telega.io/channels/anutipss/card,151,50%,https://t.me/anutipss,English
OKX Official Indonesian Group 🇮🇩,"11,068","1,320.00",https://telega.io/channels/okxofficial_id/card,0,50%,https://t.me/okxofficial_id,English
Smart Life in cryptocurrency and Airdrop (get combo),"1,265",3.49,https://telega.io/channels/duroomi/card,20,50%,https://t.me/duroomi,English
Ton AirDrops Friends,"1,074",1.20,https://telega.io/channels/TonAirDropsFriendsgroup/card,0,50%,https://t.me/TonAirDropsFriendsgroup,English
2_1_1 Crypto,"3,049",4.80,https://telega.io/channels/Crypto21_1channel/card,64,85%,https://t.me/Crypto21_1channel,English
ORO CRYPTO 💰💰,"1,001",1.20,https://telega.io/channels/astemari_mokonon/card,49,55%,https://t.me/astemari_mokonon,English
Maf Crypto,"3,018",3.60,https://telega.io/channels/maf_procrypto/card,0,50%,https://t.me/maf_procrypto,English
NEW AIRDROPS VERIFIED,"3,060",10.80,https://telega.io/channels/airdrops_verified2/card,141,70%,https://t.me/airdrops_verified2,English
BLUM YouTube Video Code | BLUM Combo,"1,341",1.20,https://telega.io/channels/BLUM_VidCode/card,320,50%,https://t.me/BLUM_VidCode,English
🇪🇹€THIO NPV TUNNEL CH™,"1,605",1.20,https://telega.io/channels/NPVETHIOPIAA/card,488,90%,https://telegram.me/NPVETHIOPIAA,Amharic
Ethio voice Chat,"2,830",2.40,https://telega.io/channels/EthioVoiceChatEVC/card,0,50%,https://t.me/EthioVoiceChatEVC,Amharic
Mr Chandio,"1,758",6.00,https://telega.io/channels/mrchandio/card,329,80%,https://t.me/mrchandio,English
433 Crypto,"2,328",1.20,https://telega.io/channels/EthioCryptoss433/card,123,55%,https://t.me/EthioCryptoss433,English
Not Bored Puppies Daily Combo,"2,683",3.60,https://telega.io/channels/Not_Bored_Puppies_Daily_Combo/card,0,85%,https://t.me/Not_Bored_Puppies_Daily_Combo,English
A Tech News🥇,"2,122",2.40,https://telega.io/channels/a_techn/card,0,85%,https://t.me/a_techn,English
DAILY COMBOS,"2,558",2.52,https://telega.io/channels/dailycomboscryptos/card,36,50%,https://t.me/dailycomboscryptos,English
Rocky Rabbit Game Pass,"1,851",6.00,https://telega.io/channels/RockyRabbit_Gamepass/card,0,70%,https://t.me/RockyRabbit_Gamepass,English
𝐆𝐑𝐎𝐔𝐏 𝐉𝐎𝐊𝐄𝐑,"1,826",60.00,https://telega.io/channels/GROUP_JOK/card,0,50%,https://t.me/GROUP_JOK,English
ASTU CRYPTO🇪🇹,"1,444",3.00,https://telega.io/channels/Astu_Official_Crypto/card,247,90%,https://t.me/Astu_Official_Crypto,Amharic
Pro Crypto,"1,516",3.60,https://telega.io/channels/Probirr/card,0,75%,https://telegram.me/Probirr,English
Airdrop Palace,"2,048",2.40,https://telega.io/channels/ethio_airdrop_sefer/card,0,50%,https://t.me/ethio_airdrop_sefer,English
Crypto income Help BD 💸,"2,813",30.00,https://telega.io/channels/Cryptoincomhelpbd/card,0,50%,https://t.me/Cryptoincomhelpbd,Other
Token table,"2,505",2.40,https://telega.io/channels/tokentabel/card,0,50%,https://t.me/tokentabel,English
Adu Genet Media,536,1.20,https://telega.io/channels/adugenetmedia/card,0,50%,https://t.me/adugenetmedia,English
NexGen crypto📈,999,2.40,https://telega.io/channels/nexgeninvestors/card,0,65%,https://t.me/nexgeninvestors,English
Best airdrops,"1,442",3.60,https://telega.io/channels/bestairdroppers1/card,87,50%,https://t.me/bestairdroppers1,Amharic
🇿‌🇮‌🇳‌🇽‌🇴,"1,165",8.40,https://telega.io/channels/ZINXO70/card,18,50%,https://t.me/ZINXO70,Arabic
Airdrop Hunter ( Bang Tutor ),630,240.00,https://telega.io/channels/airdrophunterbangtutor/card,38,50%,https://t.me/airdrophunterbangtutor,Indonesian
AIRDROP INDUSTRY ET,"1,099",4.80,https://telega.io/channels/et_airdrop_industry/card,47,60%,https://t.me/et_airdrop_industry,English
Grand Combat Daily Combos,"6,210",20.40,https://telega.io/channels/Grandcombatdailycomboss/card,0,70%,https://t.me/Grandcombatdailycomboss,English
BITS DAILY CODE - BITS YOUTUBE CODE,355,24.00,https://telega.io/channels/Bitsdailycode/card,0,75%,https://t.me/Bitsdailycode,English
Follow the Science with Prof. Schippers (group),309,18.00,https://telega.io/channels/FTScienceWithProfSchippers/card,0,50%,https://t.me/FTScienceWithProfSchippers,English
DG Tech,0,1.20,https://telega.io/channels/dgtube2/card,0,55%,https://t.me/dgtube2,English
Daily Combo In,0,4.80,https://telega.io/channels/dailycomboin/card,0,50%,https://telegram.me/dailycomboin,English
ETHIO MAKER,0,1.20,https://telega.io/channels/ETHIOMAKER/card,0,50%,https://t.me/ETHIOMAKER,Amharic
Game Hub,"56,126",24.00,https://telega.io/channels/GameHub_Hix/card,385,50%,https://t.me/GameHub_Hix,English
Taptica,"256,417",468.00,https://telega.io/channels/taptica/card,17.2K,85%,https://telegram.me/taptica,English
DAILY COMBO,"7,756",6.00,https://telega.io/channels/DAILY_COMBO_71/card,185,90%,https://t.me/DAILY_COMBO_71,English
𝐏𝐈𝐂𝐎 ™,"3,256",2.40,https://telega.io/channels/pico_markett/card,653,55%,https://t.me/pico_markett,Amharic
AIRDROPS MILLONARIOS,"1,120",7.20,https://telega.io/channels/airdropmillonario/card,355,50%,https://t.me/airdropmillonario,Spanish
Free Income 𝟕𝟏 🤑,"10,997",12.00,https://telega.io/channels/free_income_71_official/card,697,80%,https://t.me/free_income_71_official,English
Airdrop Gloves,"6,318",6.00,https://telega.io/channels/hdbdbzh/card,139,100%,https://t.me/hdbdbzh,English
UNLIMITED EHI࿐,"1,480",2.40,https://telega.io/channels/dialogzerofile/card,74,50%,https://t.me/dialogzerofile,English
Combo Time Farm Daily Question | Time Oracle,"1,004",1.20,https://telega.io/channels/TimeFarmDailyQ/card,309,50%,https://t.me/TimeFarmDailyQ,English
𝙓𝙍𝙊𝘾𝙆𝙀𝙏 🚀,"5,442",6.00,https://telega.io/channels/xrocket_71/card,292,95%,https://t.me/xrocket_71,English
FREE INCOME ANYTIME 🤑,"4,666",6.00,https://telega.io/channels/FREE_INCOME_ANYTIME_71_OFFICIAL/card,0,90%,https://t.me/FREE_INCOME_ANYTIME_71_OFFICIAL,English
🌍24 𝐎𝐍𝐋𝐈𝐍𝐄 𝐅𝐑𝐄𝐄 𝐈𝐍𝐂𝐎𝐌𝐄🎉24 অনলাইন ফ্রী ইনকাম😱{AB}💖,"3,207",9.60,https://telega.io/channels/OnlineFreeincome70/card,118,85%,https://t.me/OnlineFreeincome70,English
অনলাইন ফ্রি ইনকাম,"3,079",6.00,https://telega.io/channels/online_free_incom0/card,291,90%,https://t.me/online_free_incom0,English
ADWA CRYPTO 🇪🇹,429,1.20,https://telega.io/channels/adwacrypto/card,0,50%,https://t.me/adwacrypto,English
Abyssinia Crypto Miners 🇪🇹,932,6.00,https://telega.io/channels/abssnminers/card,197,75%,https://t.me/abssnminers,Amharic
Starsfi Daily Combo,740,6.00,https://telega.io/channels/Starsfidailyco/card,0,70%,https://t.me/Starsfidailyco,English
CORE-VARIOUS (Official) (2𝘅^>𝗧𝗲𝗮𝗺.𝗕𝗮𝗻𝗴𝗹𝗮𝗱𝗲𝘀𝗵),768,6.00,https://telega.io/channels/Masumvai24/card,72,90%,https://t.me/Masumvai24,Hindi
ATV BACKUP,"1,394",6.00,https://telega.io/channels/viralbd26/card,0,90%,https://t.me/viralbd26,English
CRYPTO AIRDROP OFFICIAL,399,6.00,https://telega.io/channels/CRYPTO_AIRDROP_OFFICIAL1/card,0,90%,https://t.me/CRYPTO_AIRDROP_OFFICIAL1,English
AirDrop DWM,"5,185",240.00,https://telega.io/channels/airdropdwm/card,1.3K,50%,https://t.me/airdropdwm,English
𝐏𝐈𝐂𝐎 𝐂𝐑𝐘𝐏𝐓𝐎™,"12,707",3.60,https://telega.io/channels/PICO_AIRDROP/card,349,50%,https://t.me/PICO_AIRDROP,English
All About crypto,"6,903",8.40,https://telega.io/channels/Earning_BOT_9/card,0,50%,https://t.me/Earning_BOT_9,English
Forex robot chats,"2,251",78.00,https://telega.io/channels/forexrobotea2/card,0,65%,https://telegram.me/forexrobotea2,English
অনলাইন ইনকাম,783,6.00,https://telega.io/channels/online_free_income6/card,0,90%,https://t.me/online_free_income6,English
BBQCoin1,"179,696",119.88,https://telega.io/channels/BBQCoinGroup/card,0,50%,https://t.me/BBQCoinGroup,English
Tanito 2024 AIRDROPS,"6,145",120.00,https://telega.io/channels/AirdropsTanitoNft/card,0,50%,https://t.me/AirdropsTanitoNft,English
AirdropCenter Daily Combo,"58,918",150.00,https://telega.io/channels/CentralChanel/card,2.8K,50%,https://t.me/CentralChanel,English
Kiyyaa Tech Group,"3,046",4.20,https://telega.io/channels/Kiyyaa_tech1/card,0,50%,https://t.me/Kiyyaa_tech1,English
የምራች እና የነጋዴወች መገናኛ ግሩፕ,"15,086",1.20,https://telega.io/channels/hebermarket89/card,0,65%,https://t.me/hebermarket89,Amharic
ታብር Airdrop | Tabir Airdrop,"1,532",6.00,https://telega.io/channels/TabirMedia/card,0,50%,https://t.me/TabirMedia,English
ኢማን መልቲሚዲያ,"32,372",2.40,https://telega.io/channels/sineislam/card,478,60%,https://t.me/sineislam,English
Airdrop Brother,"168,376",204.00,https://telega.io/channels/AirdropBrotherOfficial/card,975,50%,https://t.me/AirdropBrotherOfficial,English
Q Airdrop,"4,675",2.40,https://telega.io/channels/QAirdrops2/card,109,75%,https://t.me/QAirdrops2,English
Dannicus ™,"3,684",1.20,https://telega.io/channels/Dannicus_Ethiopian/card,0,70%,https://t.me/Dannicus_Ethiopian,English
Oro Airdrop and Crypto,"2,957",1.20,https://telega.io/channels/Oro_Online_Work4/card,0,50%,https://t.me/Oro_Online_Work4,English
The Airdrop Curator 💎,"1,064",14.40,https://telega.io/channels/TheAirdropCurator/card,0,75%,https://t.me/TheAirdropCurator,English
Crypto community,"5,595",4.80,https://telega.io/channels/Crypto_community1_et/card,61,50%,https://t.me/Crypto_community1_et,English
"HoldCoin Code - Hold Coin,TONPirateKings Combo","1,243",1.44,https://telega.io/channels/DailyCombo_Card/card,271,55%,https://t.me/DailyCombo_Card,English
Sapphire Call’s,"19,376",28.80,https://telega.io/channels/SapphireCalls/card,752,50%,https://t.me/SapphireCalls,English
¤ Heni Crypto ¤©™,"3,309",4.80,https://telega.io/channels/Heni_crypto/card,70,50%,https://telegram.me/Heni_crypto,English
ነፃ Crypto_Et,"2,166",1.20,https://telega.io/channels/NetsaCrypto_Et/card,114,50%,https://t.me/NetsaCrypto_Et,English
Airdrop coinfree,"57,644",600.00,https://telega.io/channels/irdropcrypto/card,3.5K,50%,https://t.me/irdropcrypto,English
New Airdrop,"26,235",310.80,https://telega.io/channels/hatunnelgroup/card,0,50%,https://t.me/hatunnelgroup,English
