channel_name,followers,price,telega_link,view,male_ratio,reach_ratio,tg_link,language
Videojuegos Fans 🎮,736,2.40,https://telega.io/channels/Videojuegos_Fans/card,,55%,9.3%,https://t.me/Videojuegos_Fans,Spanish
أندرويد سوريا,"14,072",1.20,https://telega.io/channels/syria_android/card,,50%,4.2%,https://t.me/syria_android,Arabic
N3dswitch,"4,523",4.79,https://telega.io/channels/N3DSwitch/card,,50%,3.0%,https://telegram.me/N3DSwitch,Spanish
Game love,"3,131",3.60,https://telega.io/channels/gamelovefree/card,,70%,2.6%,https://t.me/gamelovefree,English
Flipkart Quiz Answers,682,3.60,https://telega.io/channels/loot_dealsr/card,,50%,4.5%,https://t.me/loot_dealsr,English
apps games,"2,085",12.00,https://telega.io/channels/AppsHaven/card,,50%,--,https://t.me/AppsHaven,Spanish
PPSSPP/PC/ANDROID GAME,"14,881",3.60,https://telega.io/channels/PsSpPcAnDrOiDgAmE/card,,40%,3.0%,https://t.me/PsSpPcAnDrOiDgAmE,English
Juegos _ᶠʳᵉᵉ🎮,"2,452",2.40,https://telega.io/channels/PC_Games_PSP/card,,60%,2.8%,https://t.me/PC_Games_PSP,Spanish
Tichmods.club,"5,402",2.40,https://telega.io/channels/soccermodsJR/card,,95%,1.1%,https://t.me/soccermodsJR,English
تطبيقات والعاب مهكرة - Apps Mods,"176,485",24.00,https://telega.io/channels/gaemsmahdi/card,,55%,3.6%,https://t.me/gaemsmahdi,Arabic
ESAM GAMING ARENA,"3,910",1.20,https://telega.io/channels/esam_gaming_arena/card,,50%,8.9%,https://telegram.me/esam_gaming_arena,English
PC Games World (Updates),"2,657",3.60,https://telega.io/channels/Download_PcGames/card,,75%,2.2%,https://t.me/Download_PcGames,English
🎮 JUEGOS HACKEADOS PARA ANDROID💎,"49,760",12.00,https://telega.io/channels/juegohackeado/card,,50%,2.5%,https://t.me/juegohackeado,Spanish
Anime Pc Games,"6,425",3.60,https://telega.io/channels/Anime_Pc_Game/card,,75%,2.1%,https://t.me/Anime_Pc_Game,English
🎮ℙ𝕊ℙ 𝔾𝔸𝕄𝔼𝕊🕹️,"1,912",1.86,https://telega.io/channels/PsP_Games17/card,,65%,8.5%,https://t.me/PsP_Games17,Spanish
Videojuegos PlayStation 🎮,838,2.40,https://telega.io/channels/+ymP5LiJocvpjNTkx/card,,50%,7.3%,https://t.me/+ymP5LiJocvpjNTkx,English
JOGOS ANDROID,"17,054",4.80,https://telega.io/channels/JOGOSANDROIDOFICIAL/card,,50%,3.4%,https://t.me/JOGOSANDROIDOFICIAL,Portuguese
M PRO GAMING,"64,428",6.00,https://telega.io/channels/M_PRO_GAMING_YT/card,,70%,5.0%,https://t.me/M_PRO_GAMING_YT,English
💎 SHARED STEAM ACCOUNTS 💎STEAM OFFLINE STEAM freesteamaccounts,"4,430",12.00,https://telega.io/channels/SHAREDSTEAM/card,,90%,29.8%,https://t.me/SHAREDSTEAM,English
ANDROGAME ID,"3,819",6.00,https://telega.io/channels/ANDROGAMEID/card,,50%,18.3%,https://t.me/ANDROGAMEID,Indonesian
PES GAMES,"14,663",2.40,https://telega.io/channels/pesgames/card,,90%,3.9%,https://telegram.me/pesgames,English
PUBG FILES,"4,235",1.20,https://telega.io/channels/UmarPubgFiles/card,,70%,12.3%,https://t.me/UmarPubgFiles,English
Jeux PC | Ｇᴀᴍɪɴɢ 🎮 💻,"12,544",6.00,https://telega.io/channels/jeux_pc_gaming/card,,80%,4.1%,https://t.me/jeux_pc_gaming,French
𝕋ℍ𝔼 𝕃𝔸𝕊𝕋 𝔽ℝ𝕆ℕ𝕋𝕀𝔼ℝ,"1,999",1.20,https://telega.io/channels/The_Last_Frontier_CU/card,,90%,--,https://t.me/The_Last_Frontier_CU,Spanish
iOS StarWorld⁩ | Games,"2,374",6.00,https://telega.io/channels/iOSStarWorldGames/card,,50%,6.5%,https://t.me/iOSStarWorldGames,Spanish
Cartas de Yu-Gi-Oh!,"1,767",2.40,https://telega.io/channels/cartas_de_yugioh/card,,90%,10.7%,https://telegram.me/cartas_de_yugioh,Spanish
Hack Roms Pokémon en Español 🇪🇸,"2,375",3.60,https://telega.io/channels/hackrompkmn/card,,70%,11.9%,https://t.me/hackrompkmn,Spanish
== 💎 JUEGOS PC 💎 ==,342,1.20,https://telega.io/channels/juegosportupc/card,,65%,15.7%,https://t.me/juegosportupc,Spanish
Tech N Trivia FAMILY {CHAT},630,2.40,https://telega.io/channels/tech_n_trivia/card,,50%,--,https://telegram.me/tech_n_trivia,English
OFFERTE GAMING E TECH,"7,213",36.00,https://telega.io/channels/gamingofferteitalia/card,,50%,7.9%,https://t.me/gamingofferteitalia,Tamil
Descargar Videojuegos PsP 🎮,668,2.40,https://telega.io/channels/+qfpw7V1oXZliOGJh/card,,50%,7.8%,https://t.me/+qfpw7V1oXZliOGJh,Spanish
Elite_Android_,"3,064",4.80,https://telega.io/channels/android_romsbr/card,,50%,6.4%,https://t.me/android_romsbr,Portuguese
Best PPSSPP Games,"46,247",3.60,https://telega.io/channels/best_ppsspp_games/card,,95%,2.2%,https://t.me/best_ppsspp_games,English
Бравл Старс Новости | Brawl Stars News,"10,795",18.00,https://telega.io/channels/MlR_BS/card,,65%,16.3%,https://t.me/MlR_BS,Українська
VijoGaming - Free Fire Redeem Code Daily,"4,277",7.20,https://telega.io/channels/freefire_redeem_code_daily/card,,85%,10.5%,https://t.me/freefire_redeem_code_daily,English
ApkVision.org - Mod APK Game and App for Android,"117,618",120.00,https://telega.io/channels/apkvision/card,,50%,--,https://telegram.me/apkvision,English
Dragon Ball STL Group,"17,860",4.80,https://telega.io/channels/DBZgroup/card,,50%,--,https://t.me/DBZgroup,English
Slime Tales Announcement,"1,073",12.00,https://telega.io/channels/SlimeTalesRPG/card,,50%,--,https://t.me/SlimeTalesRPG,English
N3DSwitChat,856,3.00,https://telega.io/channels/N3DSwitChat/card,,50%,--,https://t.me/N3DSwitChat,Spanish
TXX STORE ™,"2,405",24.00,https://telega.io/channels/TXX_STORE/card,,90%,6.4%,https://t.me/TXX_STORE,English
Mig Switch ITALIA,913,2.40,https://telega.io/channels/MigSwitch_italia/card,,50%,--,https://t.me/MigSwitch_italia,Italian
L2f TOP UP ✈️,707,1.20,https://telega.io/channels/L2fTOPUP1/card,,85%,3.7%,https://t.me/L2fTOPUP1,English
Apps and courses,"2,243",6.00,https://telega.io/channels/HowtoHackeverything/card,,70%,--,https://t.me/HowtoHackeverything,English
PG SHARP KEYS,931,3.60,https://telega.io/channels/pgsharpk/card,,50%,--,https://t.me/pgsharpk,English
AppPremiun2k,"1,259",1.20,https://telega.io/channels/AppPremiun2k/card,,75%,--,https://t.me/AppPremiun2k,Spanish
"Pubg,game,ethiopia","5,922",6.00,https://telega.io/channels/ethiopubgplayers/card,,50%,--,https://t.me/ethiopubgplayers,Amharic
ModBox™,"52,196",18.00,https://telega.io/channels/Mod_Box/card,,65%,2.1%,https://t.me/Mod_Box,English
تطبيقات مهكرة 🔥 العاب مهكرة 🔥,"233,328",42.00,https://telega.io/channels/WifiDroid/card,,50%,3.3%,https://t.me/WifiDroid,Arabic
"PPSSPP GAMES [GTA V, EA SPORT FC AND E FOOTBALL 2024]™️","4,457",2.40,https://telega.io/channels/psp_gamers/card,,75%,9.0%,https://t.me/psp_gamers,English
AYAN MODS,"25,480",12.00,https://telega.io/channels/modyaps/card,,50%,--,https://t.me/modyaps,Arabic
PPSSPP GAMES,"8,300",1.20,https://telega.io/channels/wapdaygaming/card,,40%,7.9%,https://t.me/wapdaygaming,English
pocoxtv,"16,634",14.40,https://telega.io/channels/pocoxtv/card,,50%,9.0%,https://telegram.me/pocoxtv,English
GameDev News,"1,392,790",984.00,https://telega.io/channels/gamedevnewz/card,,50%,1.4%,https://t.me/gamedevnewz,English
JuegosApkMod,"18,848",2.88,https://telega.io/channels/juegosapkmodx/card,,95%,5.0%,https://t.me/juegosapkmodx,Spanish
BrawlStars The Mobile Game,"6,855",12.00,https://telega.io/channels/BrawlStars/card,,50%,12.6%,https://telegram.me/BrawlStars,English
